170710_1310,1,globals,Period,NumPeriods,RepeatTreatment,Endowment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,globals,1,1,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,Proposer,Offer,OfferOther,r1,r2,Random,RandomOther,TimeOKInitialInfoOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,1,5,0,0,0,1,100,500,0.283549102,0.99889297,2836.489915,13.56380696,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,2,6,0,0,0,1,400,0,0.899438885,0.239463107,8994.628313,8336.079431,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,3,2,0,0,0,1,400,500,0.686716674,0.866274448,6868.033017,3942.372139,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,4,1,0,0,0,0,500,500,0.19917469,0.551309947,1992.298211,9151.128745,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,5,2,0,0,0,0,500,400,0.394153221,0.839926369,3942.372139,6868.033017,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,6,6,0,0,0,0,0,400,0.833519306,0.886371025,8336.079431,8994.628313,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,7,3,0,0,0,1,500,300,0.773125187,0.238945786,7731.49082,1495.287012,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,8,1,0,0,0,1,500,500,0.915024434,0.884407625,9151.128745,1992.298211,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,9,7,0,0,0,0,300,500,0.077164474,0.442297944,772.0870377,8384.014427,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,10,7,0,0,0,1,500,300,0.838377661,0.237822167,8384.014427,772.0870377,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,11,5,0,0,0,0,500,100,0.001269447,0.86934009,13.56380696,2836.489915,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,12,4,0,0,0,1,400,500,0.753623971,0.903314171,7537.143026,5166.412735,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,13,8,0,0,0,0,400,100,0.268861696,0.105444339,2688.722402,9004.027441,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,14,8,0,0,0,1,100,400,0.900376873,0.258710625,9004.027441,2688.722402,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,15,3,0,0,0,0,300,500,0.149478346,0.503554439,1495.287012,7731.49082,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,subjects,1,16,4,0,0,0,0,500,400,0.516624048,0.17225408,5166.412735,7537.143026,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,summary,Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,summary,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,Subject,FinalProfit,ShowUpFee,ShowUpFeeInvested,MoneyAdded,MoneyToPay,MoneyEarned,GroupM1,ProfitM1,ProposerM1,OfferM1,OfferOtherM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,1,0,0,0,0,0,0,5,900,1,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,2,0,0,0,0,0,0,6,600,1,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,3,0,0,0,0,0,0,2,600,1,400,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,4,0,0,0,0,0,0,1,500,0,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,5,0,0,0,0,0,0,2,400,0,500,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,6,0,0,0,0,0,0,6,400,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,7,0,0,0,0,0,0,3,500,1,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,8,0,0,0,0,0,0,1,500,1,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,9,0,0,0,0,0,0,7,500,0,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,10,0,0,0,0,0,0,7,500,1,500,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,11,0,0,0,0,0,0,5,100,0,500,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,12,0,0,0,0,0,0,4,600,1,400,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,13,0,0,0,0,0,0,8,100,0,400,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,14,0,0,0,0,0,0,8,900,1,100,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,15,0,0,0,0,0,0,3,500,0,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,1,session,16,0,0,0,0,0,0,4,400,0,500,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,globals,Period,NumPeriods,RepeatTreatment,Debug,nGroups,length,nNumbers,TRet,ECUperAdd,TaxRate,TaxRateToShow,AuditRate,PercentageFine,AuctionStop,AuctionNoStop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,globals,1,2,0,0,1,2,2,60,150,0.5,50,0,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,Period,Subject,Group,Profit,TotalProfit,Participate,nCorrectRET,ProfitRET,Declared,Deduction,TotalDeduction,Cheat,Random,Audited,Fine,DeductionsGroup,MPCR,ReceivedFromGroup,TimeOKInitialInfoOK,nAdding,rand,limit,limitInf,nCorrectSum,correctAct,add1,add2,add3,add4,add5,i,sumSol,TimeOKRETAddingOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,1,1,0,0,1,-1,-1,-1,0,0,-1,0.583662681,-1,0,-1,0.25,0,26,122,-1,99,10,9,1,60,40,83,36,61,1,122,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,2,1,0,0,1,-1,-1,-1,0,0,-1,0.018380637,-1,0,-1,0.25,0,27,123,-1,99,10,5,0,98,19,55,26,80,1,120,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,3,1,0,0,1,-1,-1,-1,0,0,-1,0.08097617,-1,0,-1,0.25,0,26,126,-1,99,10,6,1,73,12,44,79,81,1,126,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,4,1,0,0,1,-1,-1,-1,0,0,-1,0.873302534,-1,0,-1,0.25,0,22,69,-1,99,10,7,1,11,73,63,56,82,1,69,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,5,1,0,0,1,-1,-1,-1,0,0,-1,0.966490194,-1,0,-1,0.25,0,25,86,-1,99,10,4,1,35,19,64,55,86,1,86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,6,1,0,0,1,-1,-1,-1,0,0,-1,0.12213532,-1,0,-1,0.25,0,24,89,-1,99,10,7,1,38,55,45,60,28,1,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,7,1,0,0,1,-1,-1,-1,0,0,-1,0.602878301,-1,0,-1,0.25,0,25,107,-1,99,10,9,1,12,42,58,45,11,1,107,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,8,1,0,0,1,-1,-1,-1,0,0,-1,0.728319944,-1,0,-1,0.25,0,25,131,-1,99,10,7,1,27,16,44,93,18,1,131,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170710_1310,2,subjects,1,9,1,0,0,1,-1,-1,-1,0,0,-1,0.47464054,-1,0,-1,0.25,0,26,98,-1,99,10,6,1,66,47,27,35,65,1,98,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
