Session;170710_1310;6;masterfile;Period;AuditRate;TaxRate;Period;Subject;Sujeto;Group;Grupo;Profit;nCorrectRET;ProfitRET;Declared;Deduction;TotalDeduction;Cheat;Type;Audited;Fine;DeductionsGroup;ReceivedFromGroup;TaxRateProposed;nCorrectSum;GroupDG;ProfitDG;ProposerDG;OfferDG;age_subject;gender;Trust;Ideology;Income;PublicTransport;Taxes;jDrivingFast;MoneyFound;Lying;AccidentalDamage;Litter;DrivingAlcohol;JobApplication;BuyingStolen;ProfitRiskAv;dec1;dec2;jdec3;dec4;dec5;dec6;dec7;dec8;dec9;dec10;HLJump;SafeChoices;init_pred;avg_pred;realdie;digitaldie;digitaldielie;lastroll
1;170710_1310;6;masterfile;1;0;10;1;1;1;3;-1;1720;12;1800;1800;180;180;0;-1;0;0;400;100;-1;12;5;900;1;100;24;1;0;2;89;1;1;3;3;3;2;1;1;1;2;1.6;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;2;0;5
1;170710_1310;6;masterfile;1;0;10;1;2;2;1;-1;1063.75;7;1050;0;0;0;1;-1;0;0;55;13.75;-1;7;6;600;1;400;25;0;1;1;4;3;1;3;3;3;1;1;1;1;1;0.1;0;0;0;0;0;0;1;1;1;1;7;6;4;3.666666667;1;3;0;3
1;170710_1310;6;masterfile;1;0;10;1;3;3;2;-1;1245;8;1200;1050;105;105;1;-1;0;0;600;150;-1;8;2;600;1;400;22;0;0;2;3;2;1;2;3;2;1;1;1;1;2;2;0;0;0;0;0;1;1;1;1;1;6;5;3;3.333333333;3;6;0;6
1;170710_1310;6;masterfile;1;0;10;1;4;4;2;-1;1905;13;1950;1950;195;195;0;-1;0;0;600;150;-1;13;1;500;0;500;29;0;1;1;3;3;1;1;3;2;1;1;1;1;1;1.6;0;0;0;0;0;0;0;1;1;1;8;7;2;2.666666667;6;4;0;4
1;170710_1310;6;masterfile;1;0;10;1;5;5;3;-1;800;5;750;500;50;50;1;-1;0;0;400;100;-1;5;2;400;0;500;21;0;1;1;14;3;2;3;3;3;2;1;1;2;2;1.6;0;0;0;0;1;0;0;0;1;1;5;7;4;4;6;3;0;3
1;170710_1310;6;masterfile;1;0;10;1;6;6;3;-1;1450;10;1500;1500;150;150;0;-1;0;0;400;100;-1;10;6;400;0;0;24;1;0;2;11;2;2;2;3;3;2;2;1;3;3;2;0;0;0;0;0;0;1;1;1;1;7;6;3;3.666666667;4;3;0;3
1;170710_1310;6;masterfile;1;0;10;1;7;7;2;-1;1530;10;1500;1200;120;120;1;-1;0;0;600;150;-1;10;3;500;1;500;23;0;1;1;5;2;1;3;3;3;2;2;1;2;2;0.1;0;0;0;0;0;1;1;1;1;1;6;5;2;1.666666667;1;1;0;1
1;170710_1310;6;masterfile;1;0;10;1;8;8;4;-1;1376.25;9;1350;900;90;90;1;-1;0;0;465;116.25;-1;9;1;500;1;500;22;0;1;1;89;2;2;2;3;3;3;2;1;2;3;0.1;0;0;0;0;0;0;0;0;1;1;9;8;2;2;3;3;0;3
1;170710_1310;6;masterfile;1;0;10;1;9;9;3;-1;830;5;750;200;20;20;1;-1;0;0;400;100;-1;5;7;500;0;300;24;0;1;1;1;2;1;1;3;1;1;1;1;1;1;2;0;0;0;0;0;0;1;1;1;1;7;6;2;2.666666667;1;6;0;6
1;170710_1310;6;masterfile;1;0;10;1;10;10;1;-1;2113.75;14;2100;0;0;0;1;-1;0;0;55;13.75;-1;14;7;500;1;500;20;1;0;2;1;2;1;2;4;3;1;1;2;2;2;1.6;0;0;0;0;1;1;1;1;1;1;5;4;2;2;5;4;0;4
1;170710_1310;6;masterfile;1;0;10;1;11;11;2;-1;1770;12;1800;1800;180;180;0;-1;0;0;600;150;-1;12;5;100;0;500;28;1;0;0;4;1;1;1;3;3;1;1;1;1;1;0.1;0;0;0;0;1;1;1;1;1;1;5;4;2;2.333333333;6;5;1;5
1;170710_1310;6;masterfile;1;0;10;1;12;12;4;-1;1166.25;7;1050;0;0;0;1;-1;0;0;465;116.25;-1;7;4;600;1;400;19;0;0;5;88;3;1;3;3;1;2;1;1;2;3;3.85;1;1;1;1;1;1;1;1;1;1;1;0;1;3;2;2;0;2
1;170710_1310;6;masterfile;1;0;10;1;13;13;4;-1;791.25;5;750;750;75;75;0;-1;0;0;465;116.25;-1;5;8;100;0;400;22;0;0;1;89;3;1;2;3;2;1;1;2;2;2;2;0;0;0;0;1;0;1;1;1;1;5;5;3;2.666666667;2;5;1;5
1;170710_1310;6;masterfile;1;0;10;1;14;14;1;-1;1813.75;12;1800;0;0;0;1;-1;0;0;55;13.75;-1;12;8;900;1;100;21;0;0;4;89;2;1;2;3;1;2;2;1;1;1;2;0;0;0;0;0;0;0;0;0;1;10;9;2;1.666666667;5;6;0;6
