"sujeto","grupo","cheat","ncorrectret","percevaded","safechoices","period","offerdg","auditrate","taxrate","profitret","perform_high","treatment_lab","treatment2_lab","realdie","die_type"
629,159,1,18,1,7,4,0,0,10,2700,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,160,1,15,1,7,5,0,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,159,1,15,1,7,9,0,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,160,1,13,1,7,10,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,158,1,19,1,7,6,0,0,10,2850,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,159,1,13,1,7,3,0,0,10,1950,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,159,1,15,1,7,1,0,0,10,2250,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,158,1,12,1,7,8,0,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,157,1,16,1,7,2,0,0,10,2400,1,"Non-fixed","Non-fixed",6,"Incentivized die"
629,158,1,17,1,7,7,0,0,10,2550,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,158,1,12,0.0555555559694767,4,2,300,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,158,1,10,1,4,9,300,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,159,1,10,1,4,5,300,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,158,1,12,1,4,8,300,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,160,1,12,1,4,1,300,0,10,1800,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,160,1,14,1,4,10,300,0,10,2100,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,157,1,10,1,4,3,300,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,160,1,11,0.0909090936183929,4,4,300,0,10,1650,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,160,1,9,1,4,6,300,0,10,1350,1,"Non-fixed","Non-fixed",6,"Incentivized die"
630,159,1,10,1,4,7,300,0,10,1500,1,"Non-fixed","Non-fixed",6,"Incentivized die"
631,160,1,10,0.993333339691162,5,6,500,0,10,1500,0,"Non-fixed","Non-fixed",5,"Incentivized die"
631,157,1,10,0.5,5,3,500,0,10,1500,0,"Non-fixed","Non-fixed",5,"Incentivized die"
